pass,keyword,segmento,intencion,encaje,busquedas_mes,competencia,idx_comp,cpc_usd,puja_baja,puja_alta,var_anual_pct,pico_mes,variantes,otras_variantes,tags
en_world,"vessel ship",OTRO,GENERICA,REVISAR,6600,LOW,2,5470.93,1227.33,5627.98,-11,3,3,"ship and vessel | ships and vessels","url:orcashipsagents.com"
en_world,"shipper vessel",OTRO,GENERICA,REVISAR,6600,LOW,2,5430.46,1218.25,5586.35,-11,3,1,"","url:panamashipservice.com"
en_world,"shipping port",OTRO,GENERICA,REVISAR,6600,LOW,1,36265.11,1566.44,16131.84,-12,4,1,"","url:gac.com"
en_world,"ship chartering",CONSULT,GENERICA,SERVICIO,6600,LOW,3,8284.77,2009.35,9811.71,-21,9,1,"","url:orcashipsagents.com"
en_world,"vessel chartering",CONSULT,GENERICA,SERVICIO,6600,LOW,3,8284.77,2009.35,9811.71,-21,9,1,"","url:orcashipsagents.com"
en_world,"smart surveyors",FUERA,COMERCIAL,EXCLUIR,6600,LOW,30,7218.33,6292.78,15580.11,-24,3,1,"","url:24marine.com"
en_world,"marketing firms",OTRO,COMERCIAL,EXCLUIR,6600,MEDIUM,35,46123.42,9502.32,47890.91,-27,9,1,"","url:crossworldagency.com"
en_world,"media agency",FUERA,COMERCIAL,EXCLUIR,6600,LOW,21,19554.87,3568.34,28038.68,-32,9,1,"","url:crossworldagency.com"
en_world,"business by home",OTRO,GENERICA,REVISAR,6600,LOW,13,9098.50,611.63,12139.71,-19,3,2,"business on home","url:crossworldagency.com"
en_world,"shipping agent",AGENCIA,COMERCIAL,SERVICIO,5400,LOW,32,13471.03,2195.50,16273.83,-33,12,1,"","agencia url:adimarships.com url:lethagencies.com url:orcashipsagents.com"
en_world,"panama canal history",INFO_CANAL,INFORMACIONAL,EXCLUIR,5400,LOW,4,10273.89,63.18,13123.18,-74,1,1,"","url:adimarships.com url:lethagencies.com"
en_world,"ship a ship",OTRO,GENERICA,REVISAR,5400,LOW,2,5486.93,1052.72,28731.87,0,1,2,"ship in ship","url:adimarships.com url:panamashipservice.com url:orcashipsagents.com"
en_world,"marine transportation",OTRO,GENERICA,REVISAR,5400,LOW,4,12404.95,2223.50,17266.01,-34,1,1,"","url:panamashipservice.com url:orcashipsagents.com"
en_world,"one quote",OTRO,GENERICA,REVISAR,5400,LOW,6,12432.00,3399.59,22692.54,15,6,1,"","url:panamashipservice.com"
en_world,"ship management",CONSULT,GENERICA,SERVICIO,5400,LOW,9,11677.10,2269.45,13532.57,-33,2,1,"","url:gac.com"
en_world,"shipping international company",OTRO,COMERCIAL,REVISAR,5400,MEDIUM,35,29435.69,3385.53,31181.04,-34,3,1,"","url:gac.com"
en_world,"ship in the world",OTRO,GENERICA,REVISAR,5400,LOW,13,4300.97,1159.16,7351.47,-4,9,1,"","url:gac.com"
en_world,"expert ship",OTRO,GENERICA,REVISAR,5400,LOW,7,3385.12,3233.42,13106.08,55,12,1,"","url:gac.com"
en_world,"port calls",AGENCIA,GENERICA,SERVICIO,5400,LOW,0,11074.46,1002.18,4536.89,12,4,1,"","url:lethagencies.com"
en_world,"ship shipped",OTRO,GENERICA,REVISAR,5400,LOW,2,5486.93,1052.72,28731.87,0,1,1,"","url:lethagencies.com"
en_world,"container ships",OTRO,GENERICA,REVISAR,5400,LOW,6,2289.96,695.72,5417.47,-10,5,1,"","url:orcashipsagents.com"
en_world,"transportation maritime",OTRO,INFORMACIONAL,REVISAR,5400,LOW,19,8771.48,1983.37,10828.74,-10,3,1,"","url:orcashipsagents.com"
en_world,"marine transpo",OTRO,GENERICA,REVISAR,5400,LOW,4,12497.38,2240.07,17394.67,-34,1,1,"","url:orcashipsagents.com"
en_world,"imo vessel",OTRO,GENERICA,REVISAR,5400,LOW,1,11841.74,376.78,5485.30,-4,3,1,"","url:24marine.com"
en_world,"marine technical",OTRO,GENERICA,REVISAR,5400,LOW,12,11899.96,1115.46,28009.37,11,3,1,"","url:24marine.com"
en_world,"oil storage terminal",OTRO,GENERICA,REVISAR,4400,LOW,1,124.33,0.00,0.00,-39,9,1,"","offshore_sts"
en_world,"cocolí locks panama canal expansion",INFO_CANAL,INFORMACIONAL,BLOG_GENERAL,4400,LOW,1,0.00,0.00,0.00,-22,1,1,"","info"
en_world,"shipping inc",OTRO,GENERICA,REVISAR,4400,LOW,0,11174.36,99.99,34999.94,56,7,1,"","url:adimarships.com"
en_world,"ship time",OTRO,INFORMACIONAL,REVISAR,4400,LOW,1,10187.58,2129.04,15437.92,-15,7,1,"","url:adimarships.com url:panamashipservice.com"
en_world,"shipping timeline",OTRO,INFORMACIONAL,REVISAR,4400,LOW,1,10187.58,2129.04,15437.92,-15,7,1,"","url:adimarships.com"
